Date,Description,Amount
2026-01-09,Shell Gas,-71.75
2026-04-16,Trader Joes,-63.49
2026-01-16,Chipotle,-96.34
2026-04-14,Whole Foods,-108.05
2026-01-23,Spotify,-93.38
2026-02-19,Payroll Deposit,405.37
2026-01-01,Trader Joes,-108.96
2026-01-13,Whole Foods,-80.75
2026-01-17,Netflix,-116.53
2026-04-18,Netflix,-93.53
2026-02-25,Netflix,-46.72
2026-01-14,Payroll Deposit,1428.75
2026-01-06,Rent,-1383.91
2026-03-24,Amazon,-21.54
2026-04-17,Rent,-1405.17
2026-05-16,Netflix,-41.98
2026-01-16,Rent,-594.88
2026-04-14,Netflix,-91.3
2026-03-03,Shell Gas,-49.12
2026-01-25,Payroll Deposit,998.33
2026-04-12,Shell Gas,-66.35
2026-04-02,Payroll Deposit,1101.29
2026-05-19,Amazon,-86.78
2026-02-06,Spotify,-52.08
2026-01-25,Rent,-346.59
2026-05-08,Netflix,-68.44
2026-05-12,Chipotle,-65.54
2026-05-20,Payroll Deposit,1365.35
2026-05-26,Whole Foods,-50.97
2026-05-07,Shell Gas,-66.09
2026-04-28,Chipotle,-114.37
2026-02-17,Starbucks,-71.84
2026-03-14,Chipotle,-62.31
2026-05-20,Starbucks,-8.18
2026-05-01,Spotify,-45.09
2026-05-19,Netflix,-79.16
2026-05-26,Shell Gas,-104.43
2026-01-03,Amazon,-11.64
2026-03-08,Whole Foods,-58.74
2026-05-06,Amazon,-20.26
